GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app,net.kuama.documentscanner.enums,EFlashStatus,0,15,0,0,0,1,0,1,0,1
app,net.kuama.documentscanner.enums,EOpenCvStatus,0,15,0,0,0,1,0,1,0,1
app,net.kuama.documentscanner.data,CornersFactory,0,11,0,0,0,1,0,1,0,1
app,net.kuama.documentscanner.data,Corners,0,48,0,0,0,6,0,6,0,6
app,net.kuama.documentscanner.data,OpenCVLoader,0,29,0,0,0,6,0,2,0,2
app,net.kuama.documentscanner.viewmodels,CropperModel,154,0,2,0,22,0,10,0,9,0
app,net.kuama.documentscanner.viewmodels,ScannerViewModel,443,0,40,0,70,0,38,0,17,0
app,net.kuama.documentscanner.domain,FindPaperSheetContours,0,131,0,6,0,27,0,6,0,3
app,net.kuama.documentscanner.domain,FindPaperSheetContours.Params,0,12,0,0,0,1,0,2,0,2
app,net.kuama.documentscanner.domain,UriToBitmap,28,69,6,2,6,17,6,2,0,2
app,net.kuama.documentscanner.domain,PerspectiveTransform.Params,0,21,0,0,0,1,0,3,0,3
app,net.kuama.documentscanner.domain,UriToBitmap.Params,0,18,0,0,0,1,0,3,0,3
app,net.kuama.documentscanner.domain,PerspectiveTransform,0,213,0,0,0,43,0,2,0,2
app,net.kuama.documentscanner.utils,PointUtils,0,71,0,0,0,10,0,3,0,3
app,net.kuama.documentscanner.presentation,PaperRectangle,1262,0,36,0,129,0,29,0,11,0
app,net.kuama.documentscanner.presentation,ScannerActivity,32,0,2,0,11,0,5,0,4,0
app,net.kuama.documentscanner.presentation,BaseScannerActivity,464,0,47,0,67,0,39,0,15,0
app,net.kuama.documentscanner.presentation,CropperActivity,453,0,48,0,55,0,37,0,13,0
app,net.kuama.documentscanner.exceptions,MissingSquareException,0,4,0,0,0,1,0,1,0,1
app,net.kuama.documentscanner.extensions,ContextKt,0,24,0,0,0,3,0,1,0,1
app,net.kuama.documentscanner.extensions,BitmapKt,33,19,0,0,8,2,1,1,1,1
app,net.kuama.documentscanner.extensions,MatOfPointKt,0,36,0,0,0,5,0,1,0,1
app,net.kuama.documentscanner.extensions,PointKt,0,25,0,0,0,1,0,1,0,1
